## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates TAGGING_POLICY=All INPUT=[Filter_on_data_15__Filtered_BAM] OUTPUT=/data/jwd/main/050/774/50774799/outputs/galaxy_dataset_2e992ab5-d3d0-4bee-a1b5-c63375548012.dat METRICS_FILE=/data/jwd/main/050/774/50774799/outputs/galaxy_dataset_6fbf1cef-c20a-4193-9be9-5a821fed4178.dat REMOVE_DUPLICATES=true ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 TMP_DIR=[/data/jwd/main/050/774/50774799/tmp] VERBOSITY=ERROR QUIET=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false CLEAR_DT=true ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Sep 19 03:35:49 CEST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	135811	0	0	0	3584	8	0.02639	2533173

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000057
2.0	1.947911
3.0	2.846285
4.0	3.697763
5.0	4.504792
6.0	5.269694
7.0	5.994668
8.0	6.681796
9.0	7.333056
10.0	7.950319
11.0	8.535361
12.0	9.089862
13.0	9.615418
14.0	10.113539
15.0	10.585658
16.0	11.033132
17.0	11.457247
18.0	11.859223
19.0	12.240215
20.0	12.601319
21.0	12.943572
22.0	13.26796
23.0	13.575415
24.0	13.866819
25.0	14.143013
26.0	14.404788
27.0	14.652899
28.0	14.888058
29.0	15.110941
30.0	15.32219
31.0	15.522411
32.0	15.71218
33.0	15.892044
34.0	16.062518
35.0	16.224093
36.0	16.377234
37.0	16.52238
38.0	16.65995
39.0	16.790339
40.0	16.913921
41.0	17.031052
42.0	17.142068
43.0	17.24729
44.0	17.347019
45.0	17.441541
46.0	17.53113
47.0	17.616042
48.0	17.696521
49.0	17.7728
50.0	17.845096
51.0	17.913619
52.0	17.978564
53.0	18.040119
54.0	18.098462
55.0	18.153758
56.0	18.206168
57.0	18.255842
58.0	18.302923
59.0	18.347547
60.0	18.389841
61.0	18.429927
62.0	18.467921
63.0	18.503931
64.0	18.538062
65.0	18.570411
66.0	18.601071
67.0	18.630131
68.0	18.657673
69.0	18.683779
70.0	18.708521
71.0	18.731972
72.0	18.754198
73.0	18.775265
74.0	18.795231
75.0	18.814156
76.0	18.832092
77.0	18.849092
78.0	18.865205
79.0	18.880477
80.0	18.894951
81.0	18.90867
82.0	18.921673
83.0	18.933997
84.0	18.945677
85.0	18.956748
86.0	18.967241
87.0	18.977187
88.0	18.986613
89.0	18.995547
90.0	19.004014
91.0	19.01204
92.0	19.019647
93.0	19.026856
94.0	19.03369
95.0	19.040166
96.0	19.046305
97.0	19.052123
98.0	19.057637
99.0	19.062864
100.0	19.067817

