# This file is generated by MACS version 2.2.7.1
# Command line: callpeak -t /data/dnb07/galaxy_db/files/a/1/4/dataset_a14b0772-777d-4a48-8e51-15289da625a6.dat --name MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED_ --format BED --gsize 2700000000 --call-summits --keep-dup all --d-min 20 --buffer-size 100000 --bdg --qvalue 0.05 --nomodel --extsize 200 --shift -100
# ARGUMENTS LIST:
# name = MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED_
# format = BED
# ChIP-seq file = ['/data/dnb07/galaxy_db/files/a/1/4/dataset_a14b0772-777d-4a48-8e51-15289da625a6.dat']
# control file = None
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# The maximum gap between significant sites is assigned as the read length/tag size.
# The minimum length of peaks is assigned as the predicted fragment length "d".
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 10000 bps
# Broad region calling is off
# Paired-End mode is off
# Searching for subpeak summits is on

# tag size is determined as 49 bps
# total tags in treatment: 264454
# Sequencing ends will be shifted towards 5' by 100 bp(s)
# d = 200
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	633891	634174	284	634027	159	196.468	34.4828	186.979	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_1
chr10	99659162	99659391	230	99659280	8	12.7852	7.75862	7.63084	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_2
chr11	4393681	4393880	200	4393794	6	10.1937	6.25	5.25037	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_3
chr12	88142166	88142365	200	88142259	6	9.33432	6.03448	4.46523	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_4
chr13	100674844	100675043	200	100674937	6	9.33432	6.03448	4.46523	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_5
chr20	63009184	63009383	200	63009281	4	7.59266	4.62963	2.8975	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_6
chr22	17084749	17085091	343	17084939	29	23.0745	9.375	17.2144	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_7
chr22	17158914	17159372	459	17158979	16	9.93187	5.48387	5.01288	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_8a
chr22	17158914	17159372	459	17159269	18	12.1147	6.29139	7.01525	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_8b
chr22	17171504	17172016	513	17171615	17	10.4825	5.59006	5.5119	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_9a
chr22	17171504	17172016	513	17171904	23	16.4041	7.45342	10.9912	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_9b
chr22	17258108	17258349	242	17258179	14	8.95381	5.31915	4.11603	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_10
chr22	17303933	17304137	205	17304059	13	10.9092	6.73077	5.90638	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_11
chr22	17594639	17595010	372	17594831	19	14.2024	7.24638	8.93808	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_12
chr22	17628702	17628947	246	17628824	17	15.7863	8.73786	10.4237	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_13
chr22	17638556	17638861	306	17638744	15	11.1999	6.45161	6.16953	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_14
chr22	17706485	17706697	213	17706602	7	6.02366	4.65116	1.57673	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_15
chr22	18056895	18057167	273	18057001	14	10.0059	5.95238	5.07948	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_16
chr22	18077754	18078031	278	18077891	27	19.7506	8.18713	14.0946	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_17
chr22	18906103	18906348	246	18906240	12	12.2454	7.7381	7.13145	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_18
chr22	19122426	19122756	331	19122603	29	23.5236	9.61539	17.6286	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_19
chr22	19144680	19144956	277	19144825	22	20.3323	10	14.6357	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_20
chr22	19178777	19179037	261	19178893	21	11.5783	5.39216	6.51596	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_21
chr22	19432245	19432670	426	19432526	17	11.4219	6.12245	6.37172	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_22
chr22	19447668	19447961	294	19447805	14	10.7541	6.41026	5.76054	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_23
chr22	19479554	19479964	411	19479771	21	16.1812	7.85714	10.7845	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_24
chr22	19891630	19891846	217	19891738	15	13.4724	7.84314	8.26375	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_25
chr22	20020948	20021213	266	20021073	23	17.3051	7.94702	11.8285	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_26
chr22	20080009	20080270	262	20080137	20	14.8182	7.34266	9.51721	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_27
chr22	20117173	20117542	370	20117352	28	15.8412	6.09244	10.4713	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_28
chr22	20495774	20496125	352	20495986	31	26.8927	10.8108	20.7439	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_29
chr22	20507399	20507688	290	20507551	22	17.1871	8.15603	11.7188	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_30
chr22	20702734	20702980	247	20702871	16	12.0817	6.74603	6.9833	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_31
chr22	20703172	20703447	276	20703322	20	16.4078	8.26772	10.9937	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_32
chr22	20858685	20859135	451	20858857	35	27.3977	9.83607	21.2349	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_33
chr22	20917186	20917405	220	20917292	20	16.084	8.07692	10.6949	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_34
chr22	21001734	21001980	247	21001834	15	7.97093	4.57143	3.23125	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_35
chr22	21002031	21002301	271	21002182	23	15.4338	6.93642	10.0866	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_36
chr22	21468166	21468400	235	21468273	11	13.6158	8.57143	8.39489	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_37
chr22	21587936	21588178	243	21588112	10	6.92922	4.82456	2.3491	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_38
chr22	21629294	21629504	211	21629438	19	11.2177	5.58659	6.18506	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_39
chr22	21641940	21642375	436	21642164	34	27.9579	10.4167	21.7311	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_40
chr22	21651988	21652335	348	21652097	20	13.5024	6.60377	8.29104	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_41
chr22	21666122	21666373	252	21666243	20	15.8753	7.95455	10.5025	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_42
chr22	21735804	21736003	200	21735890	9	6.30463	4.58716	1.81768	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_43
chr22	21867576	21868252	677	21867758	31	26.76	10.7383	20.6355	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_44a
chr22	21867576	21868252	677	21868093	17	11.3499	6.08108	6.30826	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_44b
chr22	21938134	21938333	200	21938209	15	9.90105	5.67376	4.98367	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_45
chr22	22110993	22111380	388	22111115	24	23.3724	11.1607	17.4838	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_46
chr22	22195377	22195749	373	22195573	11	8.71087	5.76923	3.89254	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_47
chr22	22928661	22929081	421	22928878	32	21.6971	7.89474	15.9214	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_48
chr22	22935563	22936014	452	22935837	47	36.9146	10.8597	29.8694	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_49
chr22	23070091	23070315	225	23070212	18	11.4177	5.90062	6.36894	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_50
chr22	23145223	23145564	342	23145370	19	13.1909	6.66667	8.00961	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_51
chr22	23751008	23751215	208	23751121	17	11.0019	5.88235	5.99147	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_52
chr22	23839000	23839383	384	23839135	17	13.1572	7.14286	7.97818	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_53
chr22	23894111	23894372	262	23894305	12	8.60486	5.50847	3.79835	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_54
chr22	23913942	23914249	308	23914084	20	17.467	8.8983	11.974	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_55
chr22	24011238	24011463	226	24011350	15	14.4201	8.42105	9.14409	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_56
chr22	24156365	24156582	218	24156475	17	8.76364	4.66321	3.94047	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_57
chr22	24156949	24157254	306	24157126	32	23.4556	8.73016	17.5628	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_58
chr22	24270748	24270947	200	24270825	12	6.7814	4.39189	2.21451	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_59
chr22	24271014	24271213	200	24271125	14	8.52761	5.06757	3.72945	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_60
chr22	24427846	24428096	251	24427956	27	19.3	7.95455	13.6749	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_61
chr22	24525558	24525779	222	24525654	13	10.2246	6.30631	5.27575	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_62
chr22	24555080	24555555	476	24555295	41	33.0739	10.8247	26.4592	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_63
chr22	26364481	26364689	209	26364606	17	14.874	8.18182	9.56895	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_64
chr22	26428845	26429312	468	26429164	29	21.6311	8.62069	15.8639	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_65
chr22	26512353	26512619	267	26512491	21	20.114	10.1852	14.4299	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_66
chr22	26590018	26590223	206	26590135	17	9.88994	5.26316	4.97428	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_67
chr22	26672826	26673106	281	26672979	27	15.776	6.25	10.4155	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_68
chr22	27895737	27895970	234	27895848	14	13.0336	7.8125	7.86212	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_69
chr22	27903906	27904105	200	27904000	10	11.1112	7.33333	6.08976	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_70
chr22	27919127	27919589	463	27919444	22	16.5991	7.82313	11.1736	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_71
chr22	28741680	28742071	392	28741890	38	32.6301	11.5385	26.0325	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_72
chr22	28742315	28742634	320	28742518	17	9.88994	5.26316	4.97428	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_73
chr22	28772599	28772825	227	28772694	14	11.0282	6.57895	6.01646	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_74
chr22	28800458	28800760	303	28800612	28	22.4828	9.35484	16.6525	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_75
chr22	28883275	28883598	324	28883465	15	9.83323	5.6338	4.92344	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_76
chr22	28907607	28907882	276	28907768	11	8.71087	5.76923	3.89254	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_77
chr22	29072742	29073095	354	29072967	18	15.108	8.05085	9.78251	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_78
chr22	29167289	29167777	489	29167427	34	26.8057	9.83146	20.6706	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_79
chr22	29388500	29388727	228	29388617	12	7.19831	4.64286	2.59337	MarkDuplicates_on_data_18__MarkDuplicates_BAM_output__as_BED__peak_80
