# localbam.bam
# Chromosome_ID	Chromosome_Size	Aligned_Reads
# chr1	248956422	10832.0
# chr2	242193529	11570.0
# chr3	198295559	9774.0
# chr4	190214555	9366.0
# chr5	181538259	8674.0
# chr6	170805979	8480.0
# chr7	159345973	7460.0
# chr8	145138636	7224.0
# chr9	138394717	5184.0
# chr10	133797422	5956.0
# chr11	135086622	6570.0
# chr12	133275309	6306.0
# chr13	114364328	4306.0
# chr14	107043718	3758.0
# chr15	101991189	2906.0
# chr16	90338345	3658.0
# chr17	83257441	3304.0
# chr18	80373285	3468.0
# chr19	58617616	2868.0
# chr20	64444167	2762.0
# chr21	46709983	1368.0
# chr22	50818468	132774.0
# chrX	156040895	5880.0
# chrY	57227415	6.0
# chrM	16569	0.0
# Total Genome Size: 3.088286401E9	Total Aligned Tags: 264454.0
# bowtie2	# 2.4.5
# "/usr/local/tools/_conda/envs/mulled-v1-74bc8732f02d258e2fb89cf23a0c891f939e6bfea8b907ace86991170b26503f/bin/bowtie2-align-s --wrapper basic-0 -p 8 -x /data/db/reference_genomes/hg38/hg38canon/bowtie2_index/hg38canon -I 0 -X 1000 --fr --dovetail --very-sensitive -1 input_f.fastq.gz -2 input_r.fastq.gz"
# MarkDuplicates	# 2.18.2-SNAPSHOT
# MarkDuplicates TAGGING_POLICY=All INPUT=[Filter_on_data_15__Filtered_BAM] OUTPUT=/data/jwd/main/050/774/50774799/outputs/galaxy_dataset_2e992ab5-d3d0-4bee-a1b5-c63375548012.dat METRICS_FILE=/data/jwd/main/050/774/50774799/outputs/galaxy_dataset_6fbf1cef-c20a-4193-9be9-5a821fed4178.dat REMOVE_DUPLICATES=true ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 TMP_DIR=[/data/jwd/main/050/774/50774799/tmp] VERBOSITY=ERROR QUIET=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false CLEAR_DT=true ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
# Average Insert Size: 215.93981562010785
# Median Insert Size: 151.0
# Std deviation of Insert Size: 199.99885006235206
# Number of ReadPairs: 132227.0
# Histogram
# Size (bp)	Frequency
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	1.0
24	0.0
25	11.0
26	142.0
27	116.0
28	133.0
29	131.0
30	91.0
31	87.0
32	102.0
33	120.0
34	197.0
35	388.0
36	620.0
37	762.0
38	830.0
39	1083.0
40	1316.0
41	1459.0
42	1516.0
43	1430.0
44	1221.0
45	1223.0
46	1065.0
47	1025.0
48	28.0
49	16.0
50	1273.0
51	2205.0
52	1738.0
53	1148.0
54	1054.0
55	1022.0
56	934.0
57	776.0
58	753.0
59	717.0
60	716.0
61	881.0
62	936.0
63	841.0
64	904.0
65	888.0
66	758.0
67	709.0
68	643.0
69	597.0
70	637.0
71	718.0
72	744.0
73	789.0
74	739.0
75	681.0
76	655.0
77	582.0
78	574.0
79	532.0
80	512.0
81	607.0
82	642.0
83	589.0
84	610.0
85	591.0
86	592.0
87	540.0
88	494.0
89	444.0
90	403.0
91	425.0
92	469.0
93	517.0
94	493.0
95	504.0
96	480.0
97	435.0
98	385.0
99	353.0
100	357.0
101	385.0
102	341.0
103	367.0
104	422.0
105	413.0
106	420.0
107	369.0
108	361.0
109	306.0
110	280.0
111	315.0
112	308.0
113	336.0
114	335.0
115	328.0
116	330.0
117	352.0
118	296.0
119	274.0
120	259.0
121	263.0
122	258.0
123	267.0
124	253.0
125	261.0
126	290.0
127	266.0
128	252.0
129	262.0
130	255.0
131	236.0
132	214.0
133	243.0
134	258.0
135	239.0
136	277.0
137	305.0
138	292.0
139	284.0
140	250.0
141	235.0
142	222.0
143	193.0
144	222.0
145	220.0
146	224.0
147	267.0
148	238.0
149	241.0
150	266.0
151	267.0
152	261.0
153	263.0
154	213.0
155	221.0
156	233.0
157	249.0
158	260.0
159	271.0
160	231.0
161	241.0
162	253.0
163	220.0
164	233.0
165	304.0
166	335.0
167	384.0
168	376.0
169	347.0
170	293.0
171	303.0
172	251.0
173	257.0
174	304.0
175	354.0
176	372.0
177	387.0
178	423.0
179	351.0
180	290.0
181	323.0
182	276.0
183	277.0
184	327.0
185	320.0
186	324.0
187	343.0
188	348.0
189	342.0
190	306.0
191	310.0
192	289.0
193	303.0
194	328.0
195	373.0
196	354.0
197	346.0
198	309.0
199	318.0
200	307.0
201	317.0
202	312.0
203	340.0
204	345.0
205	335.0
206	342.0
207	345.0
208	314.0
209	292.0
210	335.0
211	346.0
212	301.0
213	322.0
214	277.0
215	326.0
216	339.0
217	325.0
218	345.0
219	296.0
220	322.0
221	290.0
222	290.0
223	276.0
224	305.0
225	312.0
226	292.0
227	288.0
228	289.0
229	254.0
230	284.0
231	279.0
232	268.0
233	251.0
234	258.0
235	243.0
236	225.0
237	236.0
238	225.0
239	237.0
240	217.0
241	224.0
242	235.0
243	215.0
244	169.0
245	201.0
246	217.0
247	213.0
248	184.0
249	161.0
250	187.0
251	174.0
252	158.0
253	182.0
254	195.0
255	176.0
256	146.0
257	141.0
258	156.0
259	160.0
260	145.0
261	125.0
262	163.0
263	126.0
264	129.0
265	133.0
266	138.0
267	109.0
268	133.0
269	113.0
270	124.0
271	115.0
272	125.0
273	99.0
274	121.0
275	121.0
276	125.0
277	121.0
278	126.0
279	99.0
280	101.0
281	121.0
282	112.0
283	122.0
284	115.0
285	80.0
286	90.0
287	91.0
288	105.0
289	104.0
290	101.0
291	87.0
292	98.0
293	107.0
294	99.0
295	101.0
296	95.0
297	105.0
298	97.0
299	93.0
300	96.0
301	108.0
302	115.0
303	98.0
304	86.0
305	79.0
306	83.0
307	95.0
308	119.0
309	81.0
310	100.0
311	97.0
312	102.0
313	98.0
314	90.0
315	94.0
316	102.0
317	78.0
318	94.0
319	106.0
320	100.0
321	92.0
322	81.0
323	77.0
324	83.0
